res_id,name,cuisine,address,locality,city,city_id,latitude,longitude,zipcode,country_id,locality_verbose,aggregate_rating,rating_text,rating_color,votes
16735363,Joy Yee's Noodles,Chinese,521 Davis Street 60201,Evanston,Chicago,292,42.0460805556,-87.6790305556,60201,216,"Evanston, Chicago",4.5,Excellent,3F7E00,161
16749821,Yu's Mandarin Restaurant,Chinese,200 E Golf Road 60173,Schaumburg,Chicago,292,42.0507,-88.0742638889,60173,216,"Schaumburg, Chicago",4.5,Excellent,3F7E00,158
16743712,Chi Tung Restaurant,Chinese,"9560 S. Kedzie Avenue, Evergreen Park 60805",Evergreen Park,Chicago,292,41.7197,-87.702,60805,216,"Evergreen Park, Chicago",4.5,Excellent,3F7E00,115
16747211,Chinese Kitchen,Chinese,"1003 W. Ogden Avenue, Suite B, Naperville 60563",Naperville,Chicago,292,41.7848777778,-88.1680916667,60563,216,"Naperville, Chicago",4.4,Very Good,5BA829,31
16751533,Tsing Tao Mandarin Chinese,Chinese,"537 Green Bay Road, Wilmette 60091",Wilmette,Chicago,292,42.0748055556,-87.7077638889,60091,216,"Wilmette, Chicago",4.4,Very Good,5BA829,22
16739059,Tom Lee's Chop Suey,Chinese,"4660 N. Western Avenue, Chicago 60625",Lincoln Square,Chicago,292,41.966506,-87.688829,60625,216,"Lincoln Square, Chicago",4.4,Very Good,5BA829,19
16732398,Big Bowl,Chinese,60 East Ohio Street 60611,River North,Chicago,292,41.89259,-87.62617,60611,216,"River North, Chicago",4.3,Very Good,5BA829,175
16735772,Lao Sze Chuan,Chinese,2172 S Archer Avenue 60616,Chinatown,Chicago,292,41.8534138889,-87.6351861111,60616,216,"Chinatown, Chicago",4.3,Very Good,5BA829,208
16739135,Triple Crown Restaurant,Chinese,2217 South Wentworth Avenue 60616,Chinatown,Chicago,292,41.85218,-87.6319,60616,216,"Chinatown, Chicago",4.3,Very Good,5BA829,73
16735362,Joy Yee's Noodles,Chinese,"1335 S Halsted Street, Chicago 60607",University Village,Chicago,292,41.864407,-87.646816,60607,216,"University Village, Chicago",4.3,Very Good,5BA829,82
16748673,Heng Wing,Chinese,"121 W. Palatine Road, Palatine 60067",Palatine,Chicago,292,42.1101083333,-88.0470972222,60067,216,"Palatine, Chicago",4.3,Very Good,5BA829,59
16748500,P.F. Chang's,Chinese,14135 La Grange Road. 60462,Orland Park,Chicago,292,41.6328156552,-87.8532457352,60462,216,"Orland Park, Chicago",4.3,Very Good,5BA829,49
16734446,Fung's Chop Suey,Chinese,"1400 E 47th Street, Suite I, Chicago 60653",Kenwood,Chicago,292,41.8098638889,-87.5921027778,60653,216,"Kenwood, Chicago",4.3,Very Good,5BA829,14
16735364,Joy Yee's Noodles,Chinese,"2139 S China Place, Chicago 60616",Chinatown,Chicago,292,41.8540583333,-87.6337805556,60616,216,"Chinatown, Chicago",4.2,Very Good,5BA829,169
16739504,Wow Bao,Chinese,835 North Michigan Avenue 60611,"Water Tower Place, Magnificent Mile",Chicago,292,41.89587,-87.62598,60611,216,"Water Tower Place, Magnificent Mile, Chicago",4.2,Very Good,5BA829,117
16737247,Phoenix,Chinese,2131 S Archer Avenue 60616,Chinatown,Chicago,292,41.8537472222,-87.6331333333,60616,216,"Chinatown, Chicago",4.2,Very Good,5BA829,132
16749706,P.F. Chang's,Chinese,5 Woodfield Mall Spc D313 60173,"Woodfield Mall, Schaumburg",Chicago,292,42.0453548764,-88.0366417766,60173,216,"Woodfield Mall, Schaumburg, Chicago",4.2,Very Good,5BA829,49
16752738,Chef Ping,Chinese,"1755 Algonquin Road, Rolling Meadows 60008",Rolling Meadows,Chicago,292,42.0559666667,-88.0012805556,60008,216,"Rolling Meadows, Chicago",4.2,Very Good,5BA829,38
16740920,T L's Four Seasons Chinese,Chinese,110 W. Bartlett Avenue 60103,Bartlett,Chicago,292,41.992333,-88.184289,60103,216,"Bartlett, Chicago",4.2,Very Good,5BA829,43
16745016,Jade Dragon Restaurant,Chinese,"43 S. Washington Street, Hinsdale, Chicago 60521",Hinsdale,Chicago,292,41.8020694444,-87.9293361111,60521,216,"Hinsdale, Chicago",4.2,Very Good,5BA829,26
16739754,The Original Big 4's Chop Suey,Chinese,"5411 S. Harlem Avenue, Chicago 60638",Garfield Ridge,Chicago,292,41.7935611111,-87.8014305556,60638,216,"Garfield Ridge, Chicago",4.2,Very Good,5BA829,11
16745645,Moy Goy Inn,Chinese,"719 W Hillgrove Avenue, La Grange 60525",La Grange,Chicago,292,41.8146,-87.8784,60525,216,"La Grange, Chicago",4.2,Very Good,5BA829,14
16750481,Chen's,Chinese,"17855 80th Avenue, Tinley Park 60477",Tinley Park,Chicago,292,41.5668,-87.8123,60477,216,"Tinley Park, Chicago",4.2,Very Good,5BA829,15
16738609,Sun Wah Bar-B-Q Restaurant,Chinese,5039 N Broadway Street 60640,Uptown,Chicago,292,41.973903,-87.659565,60640,216,"Uptown, Chicago",4.1,Very Good,5BA829,117
16753901,MingHin Cuisine,Chinese,"2168 S Archer Avenue, Chicago 60616",Chinatown,Chicago,292,41.8535194444,-87.6349722222,60616,216,"Chinatown, Chicago",4.1,Very Good,5BA829,71
16734434,Friendship Chinese Restaurant,Chinese,2830 N Milwaukee Avenue 60618,Logan Square,Chicago,292,41.932691,-87.713308,60618,216,"Logan Square, Chicago",4.1,Very Good,5BA829,67
16737010,P.F. Chang's,Chinese,530 North Wabash Avenue. 60611,River North,Chicago,292,41.8919052751,-87.6269987226,60611,216,"River North, Chicago",4.1,Very Good,5BA829,80
16747299,Joy Yee's Noodles,Chinese,1163 E. Ogden Avenue 60563,Naperville,Chicago,292,41.7950583333,-88.1263583333,60563,216,"Naperville, Chicago",4.1,Very Good,5BA829,73
16739008,Three Happiness,Chinese,"209 W. Cermak Road, Chicago 60616",Chinatown,Chicago,292,41.8528472222,-87.6324222222,60616,216,"Chinatown, Chicago",4.1,Very Good,5BA829,74
16740482,Sun Shui Restaurant,Chinese,"155 W. Rand Road, Arlington Heights, Chicago 60004",Arlington Heights,Chicago,292,42.1154166667,-87.9849166667,60004,216,"Arlington Heights, Chicago",4.1,Very Good,5BA829,44
16743114,Lao Sze Chuan,Chinese,"1331 W. Ogden Avenue, Downers Grove 60515",Downers Grove,Chicago,292,41.8080361111,-88.0191277778,60515,216,"Downers Grove, Chicago",4.1,Very Good,5BA829,41
16734178,Emperor's Choice,Chinese,"2238 S Wentworth Avenue, Chicago 60616",Chinatown,Chicago,292,41.8517638889,-87.6318888889,60616,216,"Chinatown, Chicago",4.1,Very Good,5BA829,36
16739525,Yen's,Chinese,"2856 N. Clark Street, Chicago 60657",Lakeview,Chicago,292,41.9342833333,-87.64595,60657,216,"Lakeview, Chicago",4.1,Very Good,5BA829,34
16743096,Gong Ho Restaurant,Chinese,"1338 75th Street, Downers Grove 60516",Downers Grove,Chicago,292,41.7512,-88.016,60516,216,"Downers Grove, Chicago",4.1,Very Good,5BA829,23
16750921,Ming Toy Restaurant,Chinese,"3139 N Lewis Avenue, Waukegan 60087",Waukegan,Chicago,292,42.409,-87.8548,60087,216,"Waukegan, Chicago",4.1,Very Good,5BA829,24
16748840,Hong Min Restaurant,Chinese,"8048 W 111th Street, Palos Hills 60465",Palos Hills,Chicago,292,41.6896,-87.8182,60465,216,"Palos Hills, Chicago",4.1,Very Good,5BA829,21
16749252,Absolutely Chinese Restaurant,Chinese,2140 Plum Grove Road 60008,Schaumburg,Chicago,292,42.0877222222,-88.0430916667,60008,216,"Schaumburg, Chicago",4.1,Very Good,5BA829,18
16749422,Noodles Delight,Chinese,"853 E. Nerge Road, Roselle 60172",Roselle,Chicago,292,41.9979638889,-88.0586083333,60172,216,"Roselle, Chicago",4.1,Very Good,5BA829,19
16746142,Lucky Wok Chinese Restaurant,Chinese,"6452 College Road, Naperville 60532",Naperville,Chicago,292,41.768125,-88.0993111111,60532,216,"Naperville, Chicago",4.1,Very Good,5BA829,14
16752586,Joy Teriyaki,Chinese,"199 E Army Trail Road, Glendale Heights 60139",Glendale Heights,Chicago,292,41.936924,-88.080868,60139,216,"Glendale Heights, Chicago",4.1,Very Good,5BA829,11
16737207,Pequod's Pizza,Italian,2207 N Clybourn Avenue 60614,Lincoln Park,Chicago,292,41.92175,-87.6646583333,60614,216,"Lincoln Park, Chicago",4.9,Excellent,3F7E00,458
16737455,Portillo's Hot Dogs,Italian,100 West. Ontario 60610,River North,Chicago,292,41.8934295,-87.6314147,60610,216,"River North, Chicago",4.9,Excellent,3F7E00,1023
16733182,Chicago Pizza & Oven Grinder Company,Italian,2121 N Clark Street 60614,Lincoln Park,Chicago,292,41.920712,-87.637309,60614,216,"Lincoln Park, Chicago",4.9,Excellent,3F7E00,439
16747376,Portillo's Hot Dogs,Italian,1992 West. Jefferson 60540,Naperville,Chicago,292,41.7699238,-88.2051146,60540,216,"Naperville, Chicago",4.9,Excellent,3F7E00,281
16737263,Piece,Italian,1927 W North Avenue 60622,Wicker Park,Chicago,292,41.910366,-87.676127,60622,216,"Wicker Park, Chicago",4.8,Excellent,3F7E00,491
16749727,Portillo's Hot Dogs,Italian,611 East. Golf Road 60173,Schaumburg,Chicago,292,42.049462,-88.0635403,60173,216,"Schaumburg, Chicago",4.8,Excellent,3F7E00,275
16751857,Labriola Café,Italian,3021 Butterfield Road 60523,Oak Brook,Chicago,292,41.8404416667,-87.9930722222,60523,216,"Oak Brook, Chicago",4.8,Excellent,3F7E00,115
16736014,Lou Malnati's Pizzeria,Italian,439 N Wells Street 60654,River North,Chicago,292,41.890381,-87.634024,60654,216,"River North, Chicago",4.7,Excellent,3F7E00,789
16751801,Lou Malnatis Pizzeria,Italian,"805 South State Street, South Loop 60605",South Loop,Chicago,292,41.87159,-87.62736,60605,216,"South Loop, Chicago",4.7,Excellent,3F7E00,428
16747377,Portillo's Hot Dogs,Italian,950 East. Ogden Avenue 60563,Naperville,Chicago,292,41.7891030003,-88.1321061779,60563,216,"Naperville, Chicago",4.7,Excellent,3F7E00,95
16750628,Portillo's Hot Dogs,Italian,221 East. Townline Road 60061,Vernon Hills,Chicago,292,42.2399155237,-87.9590944201,60061,216,"Vernon Hills, Chicago",4.7,Excellent,3F7E00,91
16734669,Grand Lux Cafe,Italian,600 N Michigan Avenue 60611,River North,Chicago,292,41.8935805556,-87.6251138889,60611,216,"River North, Chicago",4.6,Excellent,3F7E00,807
16737523,Quartino Ristorante,Italian,626 North. State Street 60654,River North,Chicago,292,41.89328,-87.6282,60654,216,"River North, Chicago",4.6,Excellent,3F7E00,530
16739342,Volare Ristorante Italiano,Italian,"201 East Grand Avenue, Streeterville 60611",Streeterville,Chicago,292,41.89167,-87.62259,60611,216,"Streeterville, Chicago",4.6,Excellent,3F7E00,302
16736431,Mia Francesca,Italian,3311 North Clark Street 60657,Lakeview,Chicago,292,41.942182,-87.652106,60657,216,"Lakeview, Chicago",4.6,Excellent,3F7E00,297
16736372,Medici on 57th,Italian,1327 E 57th Street 60637,Hyde Park,Chicago,292,41.7914055556,-87.5936194444,60637,216,"Hyde Park, Chicago",4.6,Excellent,3F7E00,181
16732920,Calo Ristorante,Italian,"5343 N Clark Street, Chicago 60640",Edgewater,Chicago,292,41.979341,-87.668182,60640,216,"Edgewater, Chicago",4.6,Excellent,3F7E00,192
16747318,Lou Malnati's Pizzeria,Italian,131 W Jefferson Avenue 60540,Naperville,Chicago,292,41.773025,-88.15075,60540,216,"Naperville, Chicago",4.6,Excellent,3F7E00,175
16743138,Portillo's Hot Dogs,Italian,1500 Butterfield Road 60515,Downers Grove,Chicago,292,41.8343937962,-88.0224877596,60515,216,"Downers Grove, Chicago",4.6,Excellent,3F7E00,109
16739159,Tufano's Vernon Park Tap,Italian,"1073 W Vernon Park Plaza, Chicago 60607",University Village,Chicago,292,41.8729472222,-87.6541444444,60607,216,"University Village, Chicago",4.6,Excellent,3F7E00,119
16751799,Portillo's Hot Dogs,Italian,806 West. Dundee Road 60004,Arlington Heights,Chicago,292,42.1394417636,-87.9919467866,60004,216,"Arlington Heights, Chicago",4.6,Excellent,3F7E00,81
16740971,Portillo's Hot Dogs,Italian,531 North. Randall Road 60510,Batavia,Chicago,292,41.8607901492,-88.3414194687,60510,216,"Batavia, Chicago",4.6,Excellent,3F7E00,50
16734562,Giordano's,Italian,730 North Rush Street 60611,River North,Chicago,292,41.8959932896,-87.6256958395,60611,216,"River North, Chicago",4.5,Excellent,3F7E00,468
16756116,Eataly,Italian,43 East Ohio Street 60611,River North,Chicago,292,41.892126,-87.626088,60611,216,"River North, Chicago",4.5,Excellent,3F7E00,271
16738243,Spacca Napoli,Italian,"1769 W Sunnyside Avenue, Chicago 60640",Andersonville,Chicago,292,41.9633305556,-87.6735,60640,216,"Andersonville, Chicago",4.5,Excellent,3F7E00,241
