series_release,series_code,series_description,geoAreaCode,X,Y,ISO3CD,geoAreaName,sliceId,Sex,Units,Sex_description,Units_description,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,last_5_years_mean,latest_year,latest_value,latest_source,latest_nature,FID
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),4,66.02688198,33.83160199,AFG,Afghanistan,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,1
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),8,20.06660928,41.13897007,ALB,Albania,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,22.47,,,,,,,,,2009,22.47,ILOSTAT - LFS - Labour Force Survey,C,2
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),10,21.47585697,-80.40897662,ATA,Antarctica,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,3
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),12,2.678164227,28.15940032,DZA,Algeria,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,6.92,,,6.92,2014,6.92,ILOSTAT - LFS - Household Employment Survey,C,4
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),16,-170.7187269,-14.30587306,ASM,American Samoa,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,5
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),20,1.576257417,42.54548611,AND,Andorra,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,6
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),24,17.57817062,-12.33724746,AGO,Angola,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,7
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),28,-61.7999755,17.07761471,ATG,Antigua and Barbuda,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,8
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),31,50.01064725,40.39229544,AZE,Azerbaijan,1,FEMALE,PERCENT,Female,Percentage,,,,,,,,,,,,,,,,,,,,,,,9
2018.Q2.G.01,IC_GEN_MGTN,Proportion of women in senior and middle management positions (%),32,-65.14563274,-35.19446255,ARG,Argentina,1,FEMALE,PERCENT,Female,Percentage,,,,,28.61,26.26,29.41,,29.93,34.43,32.14,30.15,32.34,36.49,38.64,,,35.823333,2014,38.64,ILOSTAT - LFS - Permanent Household Survey (Urban),C,10
